Datetime,Energy,hour,day,month,day_of_week,week_of_year,is_weekend,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168
2010-11-23 09:43:00,1.408,9,23,11,1,47,0,1.398,1.334,1.742,1.305250000000001,1.907511904761905
2010-11-23 09:44:00,1.414,9,23,11,1,47,0,1.408,1.314,1.728,1.3094166666666671,1.9056428571428567
2010-11-23 09:45:00,1.412,9,23,11,1,47,0,1.414,1.278,1.686,1.3150000000000006,1.9040119047619048
2010-11-23 09:46:00,1.412,9,23,11,1,47,0,1.412,1.254,1.624,1.321583333333334,1.90275
2010-11-23 09:47:00,1.398,9,23,11,1,47,0,1.412,1.254,2.016,1.327583333333334,1.8990714285714283
2010-11-23 09:48:00,1.454,9,23,11,1,47,0,1.398,1.264,3.188,1.3355000000000006,1.88875
2010-11-23 09:49:00,1.394,9,23,11,1,47,0,1.454,1.258,3.17,1.3411666666666673,1.8781785714285717
2010-11-23 09:50:00,1.406,9,23,11,1,47,0,1.394,1.25,2.194,1.3476666666666672,1.8734880952380957
2010-11-23 09:51:00,1.38,9,23,11,1,47,0,1.406,1.242,2.484,1.3534166666666672,1.8669166666666663
2010-11-23 09:52:00,1.372,9,23,11,1,47,0,1.38,1.256,2.526,1.3582500000000006,1.860047619047619
2010-11-23 09:53:00,1.748,9,23,11,1,47,0,1.372,1.26,3.114,1.378583333333334,1.8519166666666669
2010-11-23 09:54:00,1.974,9,23,11,1,47,0,1.748,1.262,2.808,1.408250000000001,1.846952380952381
2010-11-23 09:55:00,1.374,9,23,11,1,47,0,1.974,1.25,2.602,1.4134166666666672,1.839642857142857
2010-11-23 09:56:00,2.044,9,23,11,1,47,0,1.374,1.252,2.762,1.4464166666666671,1.835369047619048
2010-11-23 09:57:00,1.736,9,23,11,1,47,0,2.044,1.256,3.134,1.4664166666666671,1.8270476190476197
2010-11-23 09:58:00,2.212,9,23,11,1,47,0,1.736,1.358,3.28,1.502000000000001,1.820690476190476
2010-11-23 09:59:00,2.06,9,23,11,1,47,0,2.212,1.282,3.2,1.534416666666667,1.813904761904762
2010-11-23 10:00:00,1.864,10,23,11,1,47,0,2.06,1.294,3.176,1.5581666666666674,1.8060952380952384
2010-11-23 10:01:00,1.96,10,23,11,1,47,0,1.864,1.356,2.618,1.583333333333334,1.802178571428572
2010-11-23 10:02:00,2.094,10,23,11,1,47,0,1.96,1.392,2.25,1.612583333333334,1.80125
2010-11-23 10:03:00,1.942,10,23,11,1,47,0,2.094,1.394,2.23,1.635416666666667,1.7995357142857142
2010-11-23 10:04:00,2.214,10,23,11,1,47,0,1.942,1.392,2.234,1.6696666666666673,1.7994166666666669
2010-11-23 10:05:00,1.558,10,23,11,1,47,0,2.214,1.402,2.23,1.6761666666666672,1.7954166666666669
2010-11-23 10:06:00,1.46,10,23,11,1,47,0,1.558,1.398,2.296,1.6787500000000006,1.7904404761904762
2010-11-23 10:07:00,1.416,10,23,11,1,47,0,1.46,1.408,2.28,1.679083333333334,1.7852976190476189
2010-11-23 10:08:00,1.428,10,23,11,1,47,0,1.416,1.414,2.324,1.679666666666667,1.7799642857142857
2010-11-23 10:09:00,1.424,10,23,11,1,47,0,1.428,1.412,2.38,1.6801666666666673,1.7742738095238098
2010-11-23 10:10:00,1.422,10,23,11,1,47,0,1.424,1.412,2.388,1.680583333333334,1.7685238095238094
2010-11-23 10:11:00,1.422,10,23,11,1,47,0,1.422,1.398,2.374,1.681583333333334,1.762857142857143
2010-11-23 10:12:00,1.498,10,23,11,1,47,0,1.422,1.454,2.39,1.6834166666666672,1.757547619047619
2010-11-23 10:13:00,1.528,10,23,11,1,47,0,1.498,1.394,2.386,1.6890000000000007,1.7524404761904764
2010-11-23 10:14:00,1.52,10,23,11,1,47,0,1.528,1.406,2.324,1.6937500000000003,1.7476547619047618
2010-11-23 10:15:00,1.524,10,23,11,1,47,0,1.52,1.38,2.256,1.6997500000000003,1.7432976190476188
2010-11-23 10:16:00,1.526,10,23,11,1,47,0,1.524,1.372,2.254,1.7061666666666673,1.7389642857142855
2010-11-23 10:17:00,1.534,10,23,11,1,47,0,1.526,1.748,2.24,1.6972500000000006,1.7347619047619047
2010-11-23 10:18:00,1.524,10,23,11,1,47,0,1.534,1.974,2.246,1.6785000000000003,1.7304642857142858
2010-11-23 10:19:00,1.508,10,23,11,1,47,0,1.524,1.374,2.248,1.6840833333333338,1.7260595238095235
2010-11-23 10:20:00,1.508,10,23,11,1,47,0,1.508,2.044,2.258,1.6617500000000005,1.7215952380952382
2010-11-23 10:21:00,1.498,10,23,11,1,47,0,1.508,1.736,2.266,1.651833333333334,1.7170238095238095
2010-11-23 10:22:00,1.512,10,23,11,1,47,0,1.498,2.212,2.198,1.6226666666666671,1.7129404761904763
2010-11-23 10:23:00,1.546,10,23,11,1,47,0,1.512,2.06,2.152,1.6012500000000005,1.7093333333333334
2010-11-23 10:24:00,1.556,10,23,11,1,47,0,1.546,1.864,2.124,1.5884166666666673,1.7059523809523809
2010-11-23 10:25:00,1.596,10,23,11,1,47,0,1.556,1.96,2.132,1.5732500000000005,1.7027619047619045
2010-11-23 10:26:00,1.52,10,23,11,1,47,0,1.596,2.094,2.132,1.549333333333334,1.6991190476190476
2010-11-23 10:27:00,1.504,10,23,11,1,47,0,1.52,1.942,2.138,1.531083333333334,1.695345238095238
2010-11-23 10:28:00,1.512,10,23,11,1,47,0,1.504,2.214,2.148,1.5018333333333338,1.6915595238095236
2010-11-23 10:29:00,1.508,10,23,11,1,47,0,1.512,1.558,2.144,1.4997500000000006,1.6877738095238095
2010-11-23 10:30:00,1.552,10,23,11,1,47,0,1.508,1.46,2.15,1.503583333333334,1.6842142857142857
2010-11-23 10:31:00,1.574,10,23,11,1,47,0,1.552,1.416,2.15,1.510166666666667,1.6807857142857143
2010-11-23 10:32:00,1.572,10,23,11,1,47,0,1.574,1.428,2.148,1.5161666666666676,1.6773571428571428
2010-11-23 10:33:00,1.578,10,23,11,1,47,0,1.572,1.424,2.146,1.522583333333334,1.6739761904761905
2010-11-23 10:34:00,1.584,10,23,11,1,47,0,1.578,1.422,2.162,1.529333333333334,1.6705357142857142
2010-11-23 10:35:00,1.578,10,23,11,1,47,0,1.584,1.422,2.226,1.5358333333333338,1.6666785714285717
2010-11-23 10:36:00,1.574,10,23,11,1,47,0,1.578,1.498,2.448,1.5390000000000006,1.6614761904761908
2010-11-23 10:37:00,1.57,10,23,11,1,47,0,1.574,1.528,2.244,1.5407500000000007,1.6574642857142858
2010-11-23 10:38:00,1.56,10,23,11,1,47,0,1.57,1.52,2.44,1.5424166666666672,1.6522261904761906
2010-11-23 10:39:00,1.506,10,23,11,1,47,0,1.56,1.524,3.554,1.5416666666666672,1.6400357142857145
2010-11-23 10:40:00,1.496,10,23,11,1,47,0,1.506,1.526,3.58,1.5404166666666672,1.627630952380952
2010-11-23 10:41:00,1.496,10,23,11,1,47,0,1.496,1.534,3.576,1.538833333333334,1.61525
2010-11-23 10:42:00,1.492,10,23,11,1,47,0,1.496,1.524,3.654,1.5375000000000003,1.6023809523809522
2010-11-23 10:43:00,1.492,10,23,11,1,47,0,1.492,1.508,3.77,1.536833333333334,1.5888214285714284
2010-11-23 10:44:00,1.496,10,23,11,1,47,0,1.492,1.508,3.93,1.536333333333334,1.5743333333333334
2010-11-23 10:45:00,1.496,10,23,11,1,47,0,1.496,1.498,2.81,1.5362500000000008,1.566511904761905
2010-11-23 10:46:00,1.486,10,23,11,1,47,0,1.496,1.512,2.324,1.5351666666666672,1.5615238095238095
2010-11-23 10:47:00,1.566,10,23,11,1,47,0,1.486,1.546,2.326,1.5360000000000007,1.5569999999999995
2010-11-23 10:48:00,1.584,10,23,11,1,47,0,1.566,1.556,2.104,1.537166666666667,1.553904761904762
2010-11-23 10:49:00,1.582,10,23,11,1,47,0,1.584,1.596,2.2,1.536583333333334,1.5502261904761905
2010-11-23 10:50:00,1.586,10,23,11,1,47,0,1.582,1.52,1.996,1.539333333333334,1.547785714285714
2010-11-23 10:51:00,1.6,10,23,11,1,47,0,1.586,1.504,1.962,1.543333333333334,1.5456309523809524
2010-11-23 10:52:00,1.586,10,23,11,1,47,0,1.6,1.512,1.954,1.5464166666666674,1.5434404761904763
2010-11-23 10:53:00,1.586,10,23,11,1,47,0,1.586,1.508,1.976,1.5496666666666672,1.5411190476190473
2010-11-23 10:54:00,1.586,10,23,11,1,47,0,1.586,1.552,2.242,1.5510833333333338,1.537214285714286
2010-11-23 10:55:00,1.576,10,23,11,1,47,0,1.586,1.574,1.96,1.5511666666666672,1.5349285714285714
2010-11-23 10:56:00,1.576,10,23,11,1,47,0,1.576,1.572,1.464,1.551333333333334,1.5355952380952378
2010-11-23 10:57:00,1.594,10,23,11,1,47,0,1.576,1.578,1.438,1.5520000000000007,1.5365238095238096
2010-11-23 10:58:00,1.526,10,23,11,1,47,0,1.594,1.584,1.368,1.5495833333333338,1.5374642857142855
2010-11-23 10:59:00,1.524,10,23,11,1,47,0,1.526,1.578,1.318,1.547333333333334,1.5386904761904765
2010-11-23 11:00:00,1.584,11,23,11,1,47,0,1.524,1.574,1.316,1.5477500000000006,1.540285714285714
2010-11-23 11:01:00,1.668,11,23,11,1,47,0,1.584,1.57,1.362,1.5518333333333338,1.542107142857143
2010-11-23 11:02:00,1.556,11,23,11,1,47,0,1.668,1.56,1.306,1.5516666666666674,1.5435952380952378
2010-11-23 11:03:00,1.43,11,23,11,1,47,0,1.556,1.506,1.328,1.5485000000000009,1.5442023809523808
